slug,n,amazon,hulu,crankin,wowow,tsutaya,abema
startup-girls-2019,1330,1,1,1,1,1,1
ninkyo-gakuen,1331,1,1,1,1,1,1
switch-2017,1336,1,1,1,1,1,1
the-lunchbox-2013,1337,1,1,1,1,1,1
iro-soku-ze-ne-reisho-n,1340,1,1,1,1,1,1
the-master-plan-2021,1351,1,1,1,1,1,1
sangokushi-ki-haba-no-ran,1352,1,1,1,1,1,1
the-brightest-roof-in-the-universe-2020,1354,1,1,1,1,1,1
day-and-night-2019,1369,1,1,1,1,1,1
ao-no-kaerimichi,1373,1,1,1,1,1,1
kaiji-final-game-2020,1375,1,1,1,1,1,1
one-night-2019,1377,1,1,1,1,1,1
rentaru-nan-mo-shi-nai-hito,1378,1,1,1,1,1,1
jumanji-welcome-to-the-jungle-2017,1402,1,1,1,1,1,1
jumanji-the-next-level-2019,1403,1,1,1,1,1,1
seventh-code-2013,1405,1,1,1,1,1,1
rampeiji-juu-dai-ranto,1406,1,1,1,1,1,1
coming-2-america-2021,1409,1,1,1,1,1,1
eine-kleine-nachtmusik-2019,1411,1,1,1,1,1,1
hatsukoi-loss-time-2019,1412,1,1,1,1,1,1
mumon-the-land-of-stealth-2017,1414,1,1,1,1,1,1
2-fast-2-furious-2003,1418,1,1,1,1,1,1
the-fast-and-the-furious-tokyo-drift-2006,1419,1,1,1,1,1,1
fast-and-furious-2009,1420,1,1,1,1,1,1
fast-five-2011,1421,1,1,1,1,1,1
fast-and-furious-6-2013,1422,1,1,1,1,1,1
furious-7-2015,1423,1,1,1,1,1,1
the-fate-of-the-furious-2017,1424,1,1,1,1,1,1
hobbs-and-shaw-2019,1425,1,1,1,1,1,1
yoku-do,1426,1,1,1,1,1,1
silent-tokyo-2020,1428,1,1,1,1,1,1
tekken-tekken,1429,1,1,1,1,1,1
yayoi-sangatsu-kimi-o-aishi-ta-30-nen,2787,1,1,1,1,1,1
my-blood-and-bones-in-a-flowing-galaxy-2020,1430,1,1,1,1,1,1
hatsukoi-2,1431,1,1,1,1,1,1
